springfox.documentation.spi	1	1
org.springframework.data.jpa.repository	1	1
com.atlassian.util.concurrent	1	1
javax.script	1	1
org.dxworks.dxplatform.services.querydsl.generated.DxQueryDslParser	1	1
org.jgrapht.alg	1	1
org.springframework.boot.test.context	1	1
org.apache.maven.model.io.xpp3	1	1
org.eclipse.jgit.transport	1	1
jdk.internal.cmm	1	1
com.fasterxml.jackson.core	1	1
org.dxworks.dx.entities.code.symlinks	1	1
org.springframework.boot.test.autoconfigure.web.servlet	1	1
org.eclipse.jgit.treewalk.filter	1	1
org.springframework.boot.test.mock.mockito	1	1
org.springframework.web.servlet.resource	1	1
org.eclipse.jgit.util.io	1	1
org.springframework.test.context	1	1
org.dxworks.dx.analysis.anomalies.code	1	1
com.atlassian.jira.rest.client.auth	1	1
springfox.documentation.spring.web.plugins	1	1
org.codehaus.jackson.map	1	1
org.springframework.test.context.junit4	1	1
org.springframework.boot.autoconfigure.domain	1	1
org.dxworks.dxplatform.services.querydsl.model.AtomType	1	1
